Atom free(leader);Atom robotbase_goingto_curr(leader, n_1, c10_2, c2_2);Atom robotbase_goingto_curr(leader, n_1, c10_2, c2_3);Atom robotbase_goingto_curr(leader, n_1, c10_14, c6_10);Atom robotbase_goingto_curr(leader, n_1, c10_14, c16_13);Atom robotbase_goingto_curr(leader, n_1, c10_14, c5_9);Atom robotbase_goingto_curr(leader, n_1, c10_14, c10_2);Atom robotbase_goingto_curr(leader, n_1, c10_14, c1_2);Atom robotbase_goingto_curr(leader, n_1, c10_14, c2_2);Atom robotbase_goingto_curr(leader, n_1, c10_14, c2_3);Atom robotbase_goingto_curr(leader, n_1, c1_2, c6_10);Atom robotbase_goingto_curr(leader, n_1, c2_3, c10_2);Atom robotbase_goingto_curr(leader, n_1, c1_2, c16_13);Atom robotbase_goingto_curr(leader, n_1, c1_2, c5_9);Atom robotbase_goingto_curr(leader, n_1, c1_2, c10_2);Atom robotbase_goingto_curr(leader, n_1, c1_2, c10_14);Atom robotbase_goingto_curr(leader, n_1, c1_2, c2_2);Atom robotbase_goingto_curr(leader, n_1, c1_2, c2_3);Atom robotbase_goingto_curr(leader, n_1, c2_2, c6_10);Atom robotbase_goingto_curr(leader, n_1, c2_2, c16_13);Atom robotbase_goingto_curr(leader, n_1, c2_2, c5_9);Atom robotbase_goingto_curr(leader, n_1, c2_2, c10_2);Atom robotbase_goingto_curr(leader, n_0, c10_2, c2_2);Atom robotbase_goingto_curr(leader, n_0, c10_2, c2_3);Atom robotbase_goingto_curr(leader, n_0, c10_14, c6_10);Atom robotbase_goingto_curr(leader, n_0, c10_14, c16_13);Atom robotbase_goingto_curr(leader, n_0, c10_14, c5_9);Atom robotbase_goingto_curr(leader, n_0, c2_3, c10_2);Atom robotbase_goingto_curr(leader, n_0, c2_2, c6_10);Atom robotbase_goingto_curr(leader, n_0, c2_2, c16_13);Atom robotbase_goingto_curr(leader, n_0, c2_2, c5_9);Atom robotbase_goingto_curr(leader, n_0, c2_2, c10_2);Atom robotbase_goingto_curr(leader, n_1, c2_3, c10_14);Atom robotbase_goingto_curr(leader, n_1, c2_3, c1_2);Atom robotbase_goingto_curr(leader, n_1, c2_3, c2_2);Atom robotbase_undocking_curr(leader, c5_9);Atom robotbase_undocking_curr(leader, c10_2);Atom robotbase_goingto_curr(leader, n_1, c2_2, c10_14);Atom robotbase_goingto_curr(leader, n_1, c2_2, c1_2);Atom robotbase_goingto_curr(leader, n_1, c2_2, c2_3);Atom robotbase_goingto_curr(leader, n_0, c6_10, c16_13);Atom robotbase_goingto_curr(leader, n_0, c6_10, c5_9);Atom robotbase_goingto_curr(leader, n_0, c6_10, c10_14);Atom cameras_takingpicture_curr(leader, c10_2, i_0);Atom robotbase_goingto_curr(leader, n_0, c6_10, c1_2);Atom robotbase_goingto_curr(leader, n_0, c6_10, c2_2);Atom robotbase_goingto_curr(leader, n_0, c6_10, c2_3);Atom robotbase_goingto_curr(leader, n_0, c16_13, c6_10);Atom robotbase_goingto_curr(leader, n_0, c16_13, c5_9);Atom robotbase_goingto_curr(leader, n_0, c16_13, c10_2);Atom robotbase_goingto_curr(leader, n_1, c5_9, c10_2);Atom robotbase_goingto_curr(leader, n_1, c5_9, c10_14);Atom robotbase_goingto_curr(leader, n_1, c5_9, c1_2);Atom robotbase_goingto_curr(leader, n_1, c5_9, c2_2);Atom robotbase_goingto_curr(leader, n_1, c5_9, c2_3);Atom robotbase_goingto_curr(leader, n_1, c10_2, c6_10);Atom robotbase_goingto_curr(leader, n_1, c10_2, c16_13);Atom robotbase_goingto_curr(leader, n_1, c10_2, c5_9);Atom robotbase_goingto_curr(leader, n_1, c10_2, c10_14);Atom robotbase_goingto_curr(leader, n_1, c10_2, c1_2);Atom robotbase_goingto_curr(leader, n_0, c2_2, c10_14);Atom robotbase_goingto_curr(leader, n_0, c2_2, c1_2);Atom robotbase_goingto_curr(leader, n_0, c2_2, c2_3);Atom robotbase_goingto_curr(leader, n_0, c2_3, c6_10);Atom robotbase_goingto_curr(leader, n_0, c2_3, c16_13);Atom robotbase_goingto_curr(leader, n_0, c2_3, c5_9);Atom robotbase_goingto_curr(leader, n_0, c16_13, c1_2);Atom robotbase_docking_curr(leader, c10_14);Atom navigation_changemode_curr(leader, n_0, n_1);Atom navigation_changemode_curr(leader, n_1, n_0);Atom robotbase_docking_curr(leader, c5_9);Atom robotbase_docking_curr(leader, c10_2);Atom robotbase_goingto_curr(leader, n_0, c2_3, c10_14);Atom robotbase_goingto_curr(leader, n_0, c2_3, c1_2);Atom robotbase_goingto_curr(leader, n_1, c16_13, c6_10);Atom robotbase_goingto_curr(leader, n_0, c10_14, c1_2);Atom robotbase_goingto_curr(leader, n_0, c10_14, c2_2);Atom robotbase_goingto_curr(leader, n_0, c10_14, c2_3);Atom robotbase_goingto_curr(leader, n_0, c1_2, c6_10);Atom robotbase_goingto_curr(leader, n_0, c1_2, c16_13);Atom robotbase_undocking_curr(leader, c10_14);Atom communication_transmittingpicture_curr(leader, c6_10);Atom communication_transmittingpicture_curr(leader, c16_13);Atom communication_transmittingpicture_curr(leader, c5_9);Atom communication_transmittingpicture_curr(leader, c10_2);Atom communication_transmittingpicture_curr(leader, c10_14);Atom communication_transmittingpicture_curr(leader, c1_2);Atom communication_transmittingpicture_curr(leader, c2_2);Atom communication_transmittingpicture_curr(leader, c2_3);Atom robotbase_goingto_curr(leader, n_1, c2_3, c6_10);Atom robotbase_goingto_curr(leader, n_1, c2_3, c16_13);Atom robotbase_goingto_curr(leader, n_1, c2_3, c5_9);Atom robotbase_goingto_curr(leader, n_0, c1_2, c5_9);Atom robotbase_goingto_curr(leader, n_0, c1_2, c10_2);Atom robotbase_goingto_curr(leader, n_0, c1_2, c10_14);Atom robotbase_goingto_curr(leader, n_0, c1_2, c2_2);Atom robotbase_goingto_curr(leader, n_0, c1_2, c2_3);Atom robotbase_goingto_curr(leader, n_0, c10_2, c6_10);Atom robotbase_goingto_curr(leader, n_0, c10_2, c16_13);Atom robotbase_goingto_curr(leader, n_0, c10_2, c5_9);Atom robotbase_goingto_curr(leader, n_0, c10_2, c10_14);Atom robotbase_goingto_curr(leader, n_0, c10_2, c1_2);Atom robotbase_goingto_curr(leader, n_0, c16_13, c10_14);Atom robotbase_goingto_curr(leader, n_0, c10_14, c10_2);Atom robotbase_goingto_curr(leader, n_1, c16_13, c5_9);Atom robotbase_goingto_curr(leader, n_1, c16_13, c10_2);Atom robotbase_goingto_curr(leader, n_1, c16_13, c10_14);Atom robotbase_goingto_curr(leader, n_1, c16_13, c1_2);Atom robotbase_goingto_curr(leader, n_1, c16_13, c2_2);Atom robotbase_goingto_curr(leader, n_1, c16_13, c2_3);Atom robotbase_goingto_curr(leader, n_1, c5_9, c6_10);Atom robotbase_goingto_curr(leader, n_1, c5_9, c16_13);Atom cameras_takingpicture_curr(leader, c2_3, i_0);Atom robotbase_goingto_curr(leader, n_0, c5_9, c6_10);Atom robotbase_goingto_curr(leader, n_0, c5_9, c16_13);Atom robotbase_goingto_curr(leader, n_0, c5_9, c10_2);Atom robotbase_goingto_curr(leader, n_0, c5_9, c10_14);Atom robotbase_goingto_curr(leader, n_0, c5_9, c1_2);Atom robotbase_goingto_curr(leader, n_0, c5_9, c2_2);Atom robotbase_goingto_curr(leader, n_0, c5_9, c2_3);Atom robotbase_goingto_curr(leader, n_0, c6_10, c10_2);Atom cameras_takingpicture_curr(leader, c6_10, i_0);Atom cameras_takingpicture_curr(leader, c16_13, i_0);Atom cameras_takingpicture_curr(leader, c5_9, i_0);Atom cameras_takingpicture_curr(leader, c10_14, i_0);Atom cameras_takingpicture_curr(leader, c1_2, i_0);Atom cameras_takingpicture_curr(leader, c2_2, i_0);Atom robotbase_goingto_curr(leader, n_0, c2_3, c2_2);Atom robotbase_goingto_curr(leader, n_1, c6_10, c16_13);Atom robotbase_goingto_curr(leader, n_1, c6_10, c5_9);Atom robotbase_goingto_curr(leader, n_1, c6_10, c10_2);Atom robotbase_goingto_curr(leader, n_1, c6_10, c10_14);Atom robotbase_goingto_curr(leader, n_1, c6_10, c1_2);Atom robotbase_goingto_curr(leader, n_1, c6_10, c2_2);Atom robotbase_goingto_curr(leader, n_1, c6_10, c2_3);Atom robotbase_goingto_curr(leader, n_0, c16_13, c2_2);Atom robotbase_goingto_curr(leader, n_0, c16_13, c2_3)
Atom communication_transmittingpicture_curr(leader, c6_10);Atom free(leader)
Atom communication_transmittingpicture_curr(leader, c16_13);Atom free(leader)
Atom communication_transmittingpicture_curr(leader, c5_9);Atom free(leader)
Atom communication_transmittingpicture_curr(leader, c10_2);Atom free(leader)
Atom communication_transmittingpicture_curr(leader, c10_14);Atom free(leader)
Atom communication_transmittingpicture_curr(leader, c1_2);Atom free(leader)
Atom communication_transmittingpicture_curr(leader, c2_2);Atom free(leader)
Atom communication_transmittingpicture_curr(leader, c2_3);Atom free(leader)
Atom robotbase_goingto_curr(leader, n_1, c2_3, c6_10);Atom free(leader)
